"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000152583",954.770931565544,4.3683589601397,0.237136475969046,18.421286486141,8.86707943973141e-76,1.34291918114732e-71,"SPARCL1"
"ENSG00000179094",743.252688449073,2.86388846357857,0.175558247951496,16.3130385327713,7.97262131991567e-60,6.03726749450614e-56,"PER1"
"ENSG00000116584",2277.91345410747,-1.03469996009244,0.0650527327726306,-15.9055571686569,5.79851304809640e-57,2.92728267044733e-53,"ARHGEF2"
"ENSG00000189221",2383.75370672631,3.34154414769682,0.212415079829424,15.7312002065964,9.24420638045303e-56,3.50008764079903e-52,"MAOA"
"ENSG00000120129",3440.70375496308,2.96521084247013,0.203702766040932,14.5565565951829,5.30641629663395e-48,1.60731349625042e-44,"DUSP1"
"ENSG00000148175",13493.9203682606,1.42716831224684,0.100366629939448,14.2195499949323,6.92971107557953e-46,1.74917457066087e-42,"STOM"
"ENSG00000178695",2685.40973562001,-2.48906888705325,0.17806407208049,-13.9785014347427,2.10881706480841e-44,4.56257634950333e-41,"KCTD12"
"ENSG00000109906",439.541520915421,5.92759504591324,0.428194415124056,13.8432329720973,1.39775824772411e-43,2.6461310827227e-40,"ZBTB16"
"ENSG00000134686",2933.64246142684,1.43948979386213,0.105827294036862,13.6022545692297,3.88276949093714e-42,6.53383821558255e-39,"PHC2"
"ENSG00000101347",14134.9917673153,3.85041430472507,0.284907007918232,13.5146352940189,1.28189391151576e-41,1.94142832899062e-38,"SAMHD1"
"ENSG00000096060",2630.23049426017,3.94505236260229,0.292918209184271,13.4681021490218,2.40980692417777e-41,3.31786598787931e-38,"FKBP5"
"ENSG00000166741",7542.25286980186,2.21959059968604,0.166735440882851,13.312050443106,1.97000025234578e-40,2.48630448514807e-37,"NNMT"
"ENSG00000125148",3695.87946177106,2.19856358442965,0.167005463033604,13.1646207524796,1.40240044201971e-39,1.63379651495297e-36,"MT2A"
"ENSG00000162614",5646.18313812309,1.97114015620688,0.15020630964574,13.1228851894158,2.43485420342008e-39,2.63399049362837e-36,"NEXN"
"ENSG00000106976",989.046833637733,-1.85017129092678,0.147786569866594,-12.5192112693117,5.86147079495898e-36,5.91813167931025e-33,"DNM1"
"ENSG00000187193",199.07693798836,3.25514240670261,0.260907114094852,12.4762500938139,1.00614633190504e-35,9.52380387293861e-33,"MT1X"
"ENSG00000256235",1123.47954131474,1.28011925479446,0.105474383002724,12.136778792642,6.74286158113057e-34,6.00709639095426e-31,"SMIM3"
"ENSG00000177666",2639.57019969705,1.13999472385165,0.0960688393666989,11.8664358949965,1.76842181876776e-32,1.48793046917987e-29,"PNPLA2"
"ENSG00000164125",7257.00808055341,1.02485232691719,0.0865760043142459,11.8376025208703,2.49482987897414e-32,1.98864202721386e-29,"FAM198B"
"ENSG00000198624",2020.04495478061,2.81410138435384,0.240634293348504,11.6945151299705,1.35961506118583e-31,1.02956850508297e-28,"CCDC69"
"ENSG00000123562",5008.55293511073,1.00454532355931,0.0890150093829249,11.2851229306504,1.55424145131698e-29,1.12090413239027e-26,"MORF4L2"
"ENSG00000144369",1283.77979687001,-1.30900413721808,0.117148631900413,-11.1738747263463,5.47397375746319e-29,3.76833329803546e-26,"FAM171B"
"ENSG00000196517",241.91536257078,-2.34568773034067,0.210473662850044,-11.1448040509082,7.59112008235958e-29,4.99858754988417e-26,"SLC6A9"
"ENSG00000135821",19973.4000047829,3.04139431932713,0.276017955970145,11.0188277738572,3.10070623389855e-28,1.95667482968307e-25,"GLUL"
"ENSG00000164647",1885.61489540935,1.54719062113167,0.142632015152418,10.8474287450705,2.05114410971057e-27,1.24258310166266e-24,"STEAP1"
"ENSG00000157150",194.419230565533,2.90878364671798,0.26851081160558,10.8330224370657,2.40096952320856e-27,1.39856474726898e-24,"TIMP4"
"ENSG00000276600",308.766133363223,-1.76082839668027,0.162985378553779,-10.8035973061182,3.30976813430389e-27,1.85653475533453e-24,"RAB7B"
"ENSG00000163697",2417.25697073947,0.917524262526058,0.0859611360954246,10.6737102858613,1.35120796930366e-26,7.30858739110857e-24,"APBB2"
"ENSG00000116285",3268.63191573428,2.44021983043098,0.229406360355789,10.6371062539261,2.00252150179008e-26,1.04579959119348e-23,"ERRFI1"
"ENSG00000181467",614.694820343917,-1.26188921164387,0.118695700126826,-10.6312967554473,2.13128174665814e-26,1.07594206843792e-23,"RAP2B"
"ENSG00000183044",534.268135899311,1.00628636891544,0.0950895908873385,10.5825081328584,3.59211467735187e-26,1.7549218318869e-23,"ABAT"
"ENSG00000162692",501.804184764929,-3.53333473074742,0.334358355941211,-10.5675083872247,4.21545537429338e-26,1.99509598886479e-23,"VCAM1"
"ENSG00000163884",574.142864572114,4.53724566859663,0.431748522861206,10.5090010233925,7.85208640078212e-26,3.6036317739347e-23,"KLF15"
"ENSG00000273259",2004.06797116422,3.36549839921695,0.323466711931181,10.4044659777324,2.36578827408995e-25,1.05381951209095e-22,NA
